gid,id,team,b_lp,b_seq,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
WEG193705161,westj102,WEG,,,value,,,2,2,,,2,,,,,,,,,,,,,,,,19370516,1,BAL09,h,PTC,1,0,0,regular,,
WEG193705161,westj102,WEG,,,value,2,2,2,2,,,2,2,,,,,,,,,,,,,,,19370516,1,BAL09,h,PTC,1,0,0,regular,,
